Jul 05, 2019  11:38:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 05, 2019  11:38:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon dioxide        1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

486.735,   1.0958E-007,   9.2229E-009,   1.1844E-007,   1.2907E-007,   1.7550E-006,   1.3913E-006,   5.0485E-007,   2.9976E-009,   4.3881E-008,   5.5399E-008,  
491.703,   1.0917E-007,   9.4892E-009,   1.1808E-007,   1.2780E-007,   1.7463E-006,   1.3961E-006,   5.0365E-007,   3.1892E-009,   4.3851E-008,   5.5428E-008,  
496.656,   1.1009E-007,   9.4687E-009,   1.1768E-007,   1.2887E-007,   1.7511E-006,   1.3854E-006,   5.0620E-007,   3.2855E-009,   4.3575E-008,   5.5482E-008,  
501.610,   1.0883E-007,   9.5108E-009,   1.1830E-007,   1.2802E-007,   1.7450E-006,   1.3970E-006,   5.0563E-007,   3.3072E-009,   4.3482E-008,   5.5499E-008,  
506.563,   1.0790E-007,   9.4482E-009,   1.1749E-007,   1.2830E-007,   1.7428E-006,   1.3777E-006,   5.0710E-007,   3.0349E-009,   4.4131E-008,   5.5266E-008,  
511.516,   1.0837E-007,   9.1169E-009,   1.1603E-007,   1.2758E-007,   1.7394E-006,   1.3892E-006,   5.0365E-007,   2.9024E-009,   4.4046E-008,   5.5322E-008,  
516.485,   1.0866E-007,   9.1373E-009,   1.1697E-007,   1.2915E-007,   1.7423E-006,   1.3851E-006,   5.0892E-007,   2.8277E-009,   4.3628E-008,   5.5418E-008,  
521.438,   1.0845E-007,   9.3373E-009,   1.1772E-007,   1.2649E-007,   1.7474E-006,   1.3844E-006,   5.0380E-007,   2.8036E-009,   4.3887E-008,   5.5524E-008,  
526.391,   1.0826E-007,   9.1325E-009,   1.1691E-007,   1.2799E-007,   1.7419E-006,   1.3767E-006,   5.0305E-007,   2.8181E-009,   4.4369E-008,   5.5449E-008,  
531.344,   1.0860E-007,   9.4602E-009,   1.1829E-007,   1.2731E-007,   1.7466E-006,   1.3854E-006,   5.0362E-007,   3.3482E-009,   4.4253E-008,   5.5375E-008,  
