Jul 19, 2019  11:23:47 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 19, 2019  11:23:47 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

889.984,   1.8161E-007,   4.7024E-009,   1.1248E-007,   2.3512E-007,   6.7936E-006,   1.7868E-006,   7.2383E-007,   3.9277E-009,   4.8460E-008,   5.3205E-008,  
899.984,   1.8002E-007,   4.6157E-009,   1.1194E-007,   2.3527E-007,   6.7224E-006,   1.7792E-006,   7.2398E-007,   3.8024E-009,   4.8177E-008,   5.2422E-008,  
909.984,   1.7997E-007,   4.7566E-009,   1.1111E-007,   2.3446E-007,   6.7295E-006,   1.7957E-006,   7.1767E-007,   3.6566E-009,   4.8572E-008,   5.2890E-008,  
919.984,   1.7948E-007,   4.8952E-009,   1.1170E-007,   2.3376E-007,   6.7976E-006,   1.7803E-006,   7.1995E-007,   3.8169E-009,   4.8769E-008,   5.2724E-008,  
929.984,   1.7845E-007,   4.7096E-009,   1.1184E-007,   2.3206E-007,   6.7164E-006,   1.7797E-006,   7.1270E-007,   3.8313E-009,   4.8360E-008,   5.2318E-008,  
939.984,   1.7838E-007,   4.5880E-009,   1.1187E-007,   2.3276E-007,   6.7023E-006,   1.7789E-006,   7.1886E-007,   3.5928E-009,   4.9014E-008,   5.1895E-008,  
949.984,   1.7748E-007,   4.4747E-009,   1.1174E-007,   2.3372E-007,   6.6727E-006,   1.7748E-006,   7.1411E-007,   3.6759E-009,   4.9081E-008,   5.2212E-008,  
959.984,   1.7941E-007,   4.5024E-009,   1.1176E-007,   2.3225E-007,   6.7125E-006,   1.7825E-006,   7.1402E-007,   3.7783E-009,   4.8983E-008,   5.1920E-008,  
969.984,   1.7695E-007,   4.5916E-009,   1.1242E-007,   2.3278E-007,   6.6838E-006,   1.7743E-006,   7.1837E-007,   3.6855E-009,   4.8612E-008,   5.1425E-008,  
979.984,   1.7713E-007,   4.5892E-009,   1.1081E-007,   2.3218E-007,   6.6598E-006,   1.7886E-006,   7.1739E-007,   3.8120E-009,   4.8618E-008,   5.1517E-008,  
989.984,   1.7616E-007,   4.5301E-009,   1.1111E-007,   2.3097E-007,   6.6318E-006,   1.7789E-006,   7.1511E-007,   3.5349E-009,   4.8106E-008,   5.2213E-008,  
999.984,   1.7704E-007,   4.7639E-009,   1.1220E-007,   2.3226E-007,   6.6395E-006,   1.7859E-006,   7.1495E-007,   3.8434E-009,   4.8190E-008,   5.1835E-008,  
1009.984,   1.7557E-007,   4.6108E-009,   1.1055E-007,   2.3078E-007,   6.6260E-006,   1.7778E-006,   7.1717E-007,   3.6108E-009,   4.9130E-008,   5.1066E-008,  
1019.984,   1.7577E-007,   4.3096E-009,   1.1099E-007,   2.3151E-007,   6.6513E-006,   1.7972E-006,   7.1554E-007,   3.9157E-009,   4.8573E-008,   5.1400E-008,  
1029.984,   1.7518E-007,   4.7169E-009,   1.1129E-007,   2.3084E-007,   6.6042E-006,   1.7832E-006,   7.1239E-007,   3.7181E-009,   4.8725E-008,   5.1511E-008,  
1039.984,   1.7478E-007,   4.5434E-009,   1.1113E-007,   2.3130E-007,   6.6039E-006,   1.7682E-006,   7.1791E-007,   3.9843E-009,   4.8767E-008,   5.1413E-008,  
1049.984,   1.7592E-007,   4.5458E-009,   1.1110E-007,   2.2807E-007,   6.5954E-006,   1.7735E-006,   7.1213E-007,   3.7566E-009,   4.8675E-008,   5.1029E-008,  
1059.984,   1.7506E-007,   4.3711E-009,   1.1118E-007,   2.3086E-007,   6.6073E-006,   1.7816E-006,   7.1121E-007,   3.8217E-009,   4.9480E-008,   5.1247E-008,  
1069.984,   1.7453E-007,   4.7181E-009,   1.1163E-007,   2.2982E-007,   6.5759E-006,   1.7707E-006,   7.1203E-007,   3.8000E-009,   4.9070E-008,   5.0223E-008,  
1079.984,   1.7348E-007,   4.6470E-009,   1.1073E-007,   2.3101E-007,   6.5691E-006,   1.7885E-006,   7.0973E-007,   3.7301E-009,   4.8713E-008,   5.0714E-008,  
1089.984,   1.7423E-007,   4.3795E-009,   1.1084E-007,   2.3082E-007,   6.4996E-006,   1.7826E-006,   7.1079E-007,   3.5952E-009,   4.8812E-008,   5.0253E-008,  
1099.984,   1.7397E-007,   4.5940E-009,   1.1437E-007,   2.2960E-007,   6.5694E-006,   1.7824E-006,   7.1518E-007,   3.7458E-009,   4.8660E-008,   5.0813E-008,  
1109.984,   1.7386E-007,   4.4675E-009,   1.1028E-007,   2.2812E-007,   6.5209E-006,   1.7740E-006,   7.1026E-007,   3.6337E-009,   4.8187E-008,   5.0342E-008,  
1119.984,   1.7295E-007,   4.4133E-009,   1.1097E-007,   2.2810E-007,   6.5026E-006,   1.7790E-006,   7.0812E-007,   3.6711E-009,   4.8843E-008,   5.0386E-008,  
1130.000,   1.7264E-007,   4.6337E-009,   1.1096E-007,   2.2736E-007,   6.4948E-006,   1.7811E-006,   7.1121E-007,   3.6000E-009,   4.8599E-008,   4.9908E-008,  
1140.000,   1.7115E-007,   4.5241E-009,   1.1206E-007,   2.2793E-007,   6.4352E-006,   1.7882E-006,   7.1258E-007,   3.4976E-009,   4.8454E-008,   5.0184E-008,  
1149.984,   1.7150E-007,   4.3976E-009,   1.1132E-007,   2.2462E-007,   6.4525E-006,   1.7864E-006,   7.1037E-007,   3.7349E-009,   4.8898E-008,   5.0517E-008,  
1159.984,   1.7219E-007,   4.4843E-009,   1.1246E-007,   2.2887E-007,   6.4483E-006,   1.7769E-006,   7.0718E-007,   3.8976E-009,   4.8934E-008,   4.9671E-008,  
1169.984,   1.7127E-007,   4.7181E-009,   1.1169E-007,   2.2684E-007,   6.4657E-006,   1.7696E-006,   7.0732E-007,   3.8530E-009,   4.8322E-008,   5.0087E-008,  
1180.000,   1.7090E-007,   4.5145E-009,   1.1279E-007,   2.2697E-007,   6.4241E-006,   1.7835E-006,   7.1193E-007,   3.8627E-009,   4.8384E-008,   5.0136E-008,  
1189.984,   1.7031E-007,   4.3867E-009,   1.1139E-007,   2.2669E-007,   6.4574E-006,   1.7836E-006,   7.0993E-007,   3.6651E-009,   4.8639E-008,   4.9946E-008,  
1199.984,   1.7062E-007,   4.5867E-009,   1.1155E-007,   2.2521E-007,   6.4275E-006,   1.7664E-006,   7.1134E-007,   3.7325E-009,   4.9001E-008,   4.9684E-008,  
1209.984,   1.6976E-007,   4.4012E-009,   1.1178E-007,   2.2749E-007,   6.3854E-006,   1.7767E-006,   7.1413E-007,   3.8084E-009,   4.9024E-008,   5.0261E-008,  
