Jul 08, 2019  09:55:22 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 08, 2019  09:55:22 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

620.000,   1.5461E-007,   5.9145E-009,   8.9960E-008,   1.7798E-007,   4.3004E-006,   1.2092E-006,   5.1542E-007,   3.0108E-009,   4.1059E-008,   6.4493E-008,  
630.000,   1.5532E-007,   6.3313E-009,   8.9001E-008,   1.7664E-007,   4.2760E-006,   1.2038E-006,   5.1789E-007,   3.0277E-009,   4.0741E-008,   6.4311E-008,  
640.000,   1.5349E-007,   6.0337E-009,   8.8065E-008,   1.7699E-007,   4.2692E-006,   1.2034E-006,   5.1660E-007,   3.1289E-009,   4.1173E-008,   6.4258E-008,  
650.000,   1.5255E-007,   6.1277E-009,   8.8281E-008,   1.7579E-007,   4.2861E-006,   1.2028E-006,   5.1604E-007,   3.2783E-009,   4.1064E-008,   6.3946E-008,  
660.000,   1.5382E-007,   6.4855E-009,   8.9836E-008,   1.7630E-007,   4.2447E-006,   1.1979E-006,   5.1637E-007,   2.7542E-009,   4.0704E-008,   6.3496E-008,  
670.000,   1.5534E-007,   6.3554E-009,   8.7616E-008,   1.7509E-007,   4.2580E-006,   1.2024E-006,   5.1417E-007,   3.0904E-009,   4.0618E-008,   6.3475E-008,  
680.000,   1.5438E-007,   6.1181E-009,   8.9188E-008,   1.7746E-007,   4.2680E-006,   1.1998E-006,   5.1835E-007,   3.0337E-009,   4.0820E-008,   6.3688E-008,  
690.000,   1.5245E-007,   6.0506E-009,   8.9563E-008,   1.7716E-007,   4.2145E-006,   1.2095E-006,   5.1696E-007,   2.7566E-009,   4.0934E-008,   6.4429E-008,  
700.000,   1.5361E-007,   6.2566E-009,   8.9237E-008,   1.7725E-007,   4.2446E-006,   1.2032E-006,   5.1454E-007,   2.9361E-009,   4.0745E-008,   6.4410E-008,  
710.000,   1.5275E-007,   6.0602E-009,   8.9204E-008,   1.7717E-007,   4.2331E-006,   1.2050E-006,   5.1775E-007,   3.0229E-009,   4.0752E-008,   6.3819E-008,  
720.016,   1.5421E-007,   6.5554E-009,   8.9958E-008,   1.7559E-007,   4.2108E-006,   1.2100E-006,   5.1828E-007,   2.9880E-009,   4.1395E-008,   6.4353E-008,  
730.000,   1.5327E-007,   5.9795E-009,   8.9455E-008,   1.7628E-007,   4.2401E-006,   1.2109E-006,   5.2098E-007,   2.9386E-009,   4.1036E-008,   6.3864E-008,  
740.000,   1.5203E-007,   6.4253E-009,   8.9420E-008,   1.7657E-007,   4.1923E-006,   1.2104E-006,   5.1813E-007,   3.1940E-009,   4.0952E-008,   6.3889E-008,  
750.000,   1.5323E-007,   6.1518E-009,   8.9745E-008,   1.7703E-007,   4.2432E-006,   1.2013E-006,   5.1638E-007,   3.3819E-009,   4.1200E-008,   6.4120E-008,  
760.000,   1.5222E-007,   6.2976E-009,   8.8714E-008,   1.7514E-007,   4.2053E-006,   1.2205E-006,   5.1490E-007,   2.8711E-009,   4.0792E-008,   6.3316E-008,  
770.000,   1.5223E-007,   6.3398E-009,   8.8682E-008,   1.7580E-007,   4.2047E-006,   1.2157E-006,   5.1618E-007,   2.9108E-009,   4.1199E-008,   6.3825E-008,  
780.000,   1.5331E-007,   5.9566E-009,   8.9065E-008,   1.7479E-007,   4.1998E-006,   1.2173E-006,   5.1645E-007,   3.1614E-009,   4.1204E-008,   6.4095E-008,  
