Jul 18, 2019  11:56:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 18, 2019  11:56:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

760.000,   1.6990E-007,   4.8723E-009,   1.0568E-007,   2.1930E-007,   6.1483E-006,   1.6407E-006,   6.7893E-007,   3.9554E-009,   4.6113E-008,   5.1555E-008,  
770.000,   1.7066E-007,   4.9590E-009,   1.0613E-007,   2.1721E-007,   6.1232E-006,   1.6418E-006,   6.7480E-007,   3.9711E-009,   4.5484E-008,   5.0753E-008,  
780.000,   1.7079E-007,   5.1627E-009,   1.0567E-007,   2.1797E-007,   6.1172E-006,   1.6423E-006,   6.7126E-007,   3.9036E-009,   4.5759E-008,   5.1022E-008,  
790.000,   1.7031E-007,   4.9602E-009,   1.0541E-007,   2.1790E-007,   6.1039E-006,   1.6445E-006,   6.7180E-007,   3.8398E-009,   4.5941E-008,   5.0240E-008,  
800.000,   1.7029E-007,   5.2060E-009,   1.0625E-007,   2.1605E-007,   6.1010E-006,   1.6410E-006,   6.7669E-007,   3.8012E-009,   4.7382E-008,   5.1245E-008,  
810.000,   1.6933E-007,   5.1241E-009,   1.0576E-007,   2.1546E-007,   6.0552E-006,   1.6506E-006,   6.6963E-007,   3.8699E-009,   4.5752E-008,   5.0747E-008,  
820.000,   1.6884E-007,   5.2205E-009,   1.0542E-007,   2.1695E-007,   6.0329E-006,   1.6471E-006,   6.6969E-007,   3.8313E-009,   4.5493E-008,   5.0273E-008,  
830.000,   1.6725E-007,   5.2434E-009,   1.0577E-007,   2.1646E-007,   5.9914E-006,   1.6474E-006,   6.7350E-007,   3.8012E-009,   4.5643E-008,   4.9743E-008,  
840.000,   1.6679E-007,   4.9590E-009,   1.0590E-007,   2.1543E-007,   6.0001E-006,   1.6320E-006,   6.6680E-007,   3.8795E-009,   4.6139E-008,   4.9587E-008,  
850.000,   1.6723E-007,   4.9723E-009,   1.0619E-007,   2.1362E-007,   5.9865E-006,   1.6486E-006,   6.6987E-007,   4.0639E-009,   4.5002E-008,   4.9818E-008,  
860.000,   1.6746E-007,   5.1663E-009,   1.0544E-007,   2.1465E-007,   5.9406E-006,   1.6401E-006,   6.6991E-007,   4.0566E-009,   4.5818E-008,   4.9281E-008,  
870.000,   1.6533E-007,   5.3036E-009,   1.0620E-007,   2.1363E-007,   5.9808E-006,   1.6566E-006,   6.7537E-007,   3.8976E-009,   4.5951E-008,   4.9540E-008,  
880.000,   1.6573E-007,   5.1506E-009,   1.0622E-007,   2.1315E-007,   5.9571E-006,   1.6476E-006,   6.6938E-007,   3.7169E-009,   4.5358E-008,   4.9337E-008,  
890.000,   1.6667E-007,   4.9783E-009,   1.0617E-007,   2.1402E-007,   5.9362E-006,   1.6483E-006,   6.7539E-007,   4.0169E-009,   4.5798E-008,   4.9201E-008,  
900.016,   1.6531E-007,   5.3663E-009,   1.0652E-007,   2.1216E-007,   5.8775E-006,   1.6371E-006,   6.6622E-007,   3.8831E-009,   4.4855E-008,   4.9600E-008,  
910.000,   1.6584E-007,   5.1398E-009,   1.0472E-007,   2.1225E-007,   5.8494E-006,   1.6341E-006,   6.6656E-007,   3.8253E-009,   4.5217E-008,   4.9078E-008,  
920.000,   1.6524E-007,   5.1229E-009,   1.0566E-007,   2.1126E-007,   5.8382E-006,   1.6324E-006,   6.6724E-007,   3.8096E-009,   4.4863E-008,   4.8902E-008,  
930.000,   1.6396E-007,   4.9265E-009,   1.0508E-007,   2.1133E-007,   5.8174E-006,   1.6334E-006,   6.6962E-007,   3.8048E-009,   4.5616E-008,   4.8600E-008,  
940.016,   1.6289E-007,   5.1880E-009,   1.0700E-007,   2.1101E-007,   5.8246E-006,   1.6350E-006,   6.6505E-007,   3.7976E-009,   4.5060E-008,   4.8508E-008,  
950.016,   1.6369E-007,   4.8687E-009,   1.0623E-007,   2.1020E-007,   5.8098E-006,   1.6285E-006,   6.6695E-007,   4.1843E-009,   4.5119E-008,   4.8745E-008,  
960.000,   1.6234E-007,   4.8289E-009,   1.0584E-007,   2.0938E-007,   5.7782E-006,   1.6364E-006,   6.6268E-007,   3.8530E-009,   4.5598E-008,   4.8006E-008,  
970.000,   1.6152E-007,   5.0325E-009,   1.0679E-007,   2.1047E-007,   5.7385E-006,   1.6399E-006,   6.6210E-007,   3.9747E-009,   4.5399E-008,   4.7469E-008,  
980.000,   1.6149E-007,   4.8578E-009,   1.0573E-007,   2.0975E-007,   5.7357E-006,   1.6254E-006,   6.6050E-007,   4.1880E-009,   4.4751E-008,   4.8034E-008,  
990.000,   1.6073E-007,   4.8301E-009,   1.0535E-007,   2.0963E-007,   5.7014E-006,   1.6416E-006,   6.6196E-007,   3.7639E-009,   4.4841E-008,   4.8113E-008,  
1000.016,   1.6115E-007,   5.0964E-009,   1.0516E-007,   2.0801E-007,   5.7037E-006,   1.6288E-006,   6.6582E-007,   4.0157E-009,   4.4701E-008,   4.7542E-008,  
1010.000,   1.6126E-007,   4.9795E-009,   1.0513E-007,   2.0770E-007,   5.6744E-006,   1.6239E-006,   6.5773E-007,   3.8795E-009,   4.5342E-008,   4.6984E-008,  
1020.000,   1.6033E-007,   4.8928E-009,   1.0525E-007,   2.0635E-007,   5.6694E-006,   1.6265E-006,   6.5863E-007,   3.8964E-009,   4.4981E-008,   4.7490E-008,  
1030.000,   1.5955E-007,   4.8795E-009,   1.0644E-007,   2.0636E-007,   5.6119E-006,   1.6234E-006,   6.5654E-007,   4.0602E-009,   4.4396E-008,   4.7717E-008,  
1040.000,   1.5845E-007,   4.8048E-009,   1.0552E-007,   2.0612E-007,   5.6213E-006,   1.6319E-006,   6.6002E-007,   3.8349E-009,   4.4629E-008,   4.6455E-008,  
1050.000,   1.5891E-007,   4.7434E-009,   1.0524E-007,   2.0717E-007,   5.6275E-006,   1.6213E-006,   6.5721E-007,   3.7060E-009,   4.5080E-008,   4.7116E-008,  
1060.000,   1.5883E-007,   4.8711E-009,   1.0582E-007,   2.0674E-007,   5.5669E-006,   1.6210E-006,   6.5765E-007,   3.8361E-009,   4.4855E-008,   4.7040E-008,  
1070.000,   1.5834E-007,   4.9506E-009,   1.0659E-007,   2.0709E-007,   5.5784E-006,   1.6199E-006,   6.5812E-007,   3.8386E-009,   4.4963E-008,   4.6590E-008,  
1080.000,   1.5636E-007,   4.9759E-009,   1.0592E-007,   2.0649E-007,   5.5961E-006,   1.6418E-006,   6.5601E-007,   3.9072E-009,   4.5075E-008,   4.6642E-008,  
1090.000,   1.5801E-007,   4.8048E-009,   1.0582E-007,   2.0405E-007,   5.5389E-006,   1.6301E-006,   6.5761E-007,   3.9120E-009,   4.5093E-008,   4.6828E-008,  
1100.000,   1.5606E-007,   4.9000E-009,   1.0502E-007,   2.0574E-007,   5.5326E-006,   1.6143E-006,   6.5276E-007,   3.8072E-009,   4.4771E-008,   4.6407E-008,  
1110.000,   1.5504E-007,   4.7843E-009,   1.0484E-007,   2.0306E-007,   5.5181E-006,   1.6187E-006,   6.5448E-007,   3.9024E-009,   4.5382E-008,   4.6242E-008,  
1120.000,   1.5671E-007,   4.7747E-009,   1.0580E-007,   2.0353E-007,   5.4753E-006,   1.6215E-006,   6.5260E-007,   4.0952E-009,   4.4876E-008,   4.5398E-008,  
1130.000,   1.5662E-007,   5.0048E-009,   1.0594E-007,   2.0360E-007,   5.5100E-006,   1.6125E-006,   6.4838E-007,   3.9024E-009,   4.4904E-008,   4.5982E-008,  
1140.000,   1.5546E-007,   4.6554E-009,   1.0543E-007,   2.0394E-007,   5.4825E-006,   1.6151E-006,   6.4997E-007,   3.9205E-009,   4.4560E-008,   4.5888E-008,  
1150.000,   1.5446E-007,   4.7253E-009,   1.0497E-007,   2.0344E-007,   5.4436E-006,   1.6063E-006,   6.5187E-007,   3.8241E-009,   4.5024E-008,   4.5378E-008,  
1160.016,   1.5515E-007,   4.7566E-009,   1.0547E-007,   2.0247E-007,   5.3874E-006,   1.6093E-006,   6.5218E-007,   3.8084E-009,   4.4186E-008,   4.5177E-008,  
1170.000,   1.5269E-007,   5.0072E-009,   1.0467E-007,   2.0094E-007,   5.4025E-006,   1.6187E-006,   6.5147E-007,   3.6012E-009,   4.4758E-008,   4.4775E-008,  
1180.000,   1.5411E-007,   4.7313E-009,   1.0449E-007,   1.9966E-007,   5.3629E-006,   1.6000E-006,   6.4417E-007,   3.8181E-009,   4.4918E-008,   4.4557E-008,  
1190.000,   1.5469E-007,   4.4759E-009,   1.0476E-007,   2.0122E-007,   5.3302E-006,   1.8588E-006,   6.6749E-007,   3.8711E-009,   4.5358E-008,   4.4947E-008,  
